name,value
pay_grad_name,E
valid_from,2026.04.01
working_time_weekly,je nach Bundesland (39.0-40.0)
link,https://www.dbb.de/fileadmin/user_upload/globale_elemente/pdfs/2026/Einkommensrunde_TV-L/Entgelttabellen/2_vorlaeufige_Entgelttabelle_TV-L_Anlage_B_Allgemeiner_Teil_April_2026_bis_Februar_2027.pdf
name_de,Tarifvertrag Allgemeiner Teil
name_en,Collective Agreement General Part
allowances,tv-l-annual-bonus;tv-l-vwl;tv-l-function-allowance;tv-l-foreman-allowance;tv-l-tier-allowance;tv-l-care-allowance
prv,vbl-west;vbl-east;vbl-west-n-atv;vbl-east-n-atv;kvbw
